101,3,1,0,0
102,6,1,-1,0
103,1,1,0,0
104,4,1,-1,0
105,2,1,0,0
106,1,1,0,0
107,6,1,-3,0
108,1,1,0,0
109,1,1,0,0
110,1,1,0,0
111,2,1,-5,0
112,5,1,-1,0
113,2,1,0,0
114,6,1,-1,0
115,1,1,0,0
116,4,1,-1,0
117,2,1,0,0
118,4,1,-1,0
119,0,1,-2,0
120,2,1,0,0
201,1,2,0,0
202,1,2,0,0
203,1,2,0,0
204,3,2,0,0
205,2,2,6,0
206,2,2,0,0
207,1,2,0,0
208,1,2,0,0
209,1,2,0,0
210,2,2,0,0
211,3,2,0,0
212,4,2,6,0
213,5,2,-1,0
214,1,2,0,0
215,4,2,-1,0
216,2,2,0,0
217,2,2,0,0
218,2,2,0,0
219,4,2,6,0
220,1,2,0,0
221,1,2,0,0
222,2,2,0,0
301,1,3,0,0
302,1,3,0,0
303,1,3,0,0
304,3,3,0,0
305,1,3,0,0
306,3,3,-5,1
307,4,3,-1,0
308,2,3,0,0
309,1,3,0,0
310,2,3,0,0
311,3,3,6,0
312,1,3,0,0
313,4,3,-1,0
314,2,3,0,0
315,4,3,-1,0
316,3,3,0,1
317,3,3,0,0
318,3,3,0,0
319,0,3,-2,0
320,4,3,-1,0
321,3,3,0,0
322,6,3,-1,0
401,3,4,-5,0
402,1,4,0,0
403,2,4,0,0
404,3,4,0,3
405,4,4,-1,0
406,1,4,0,0
407,0,4,-2,0
408,4,4,-1,0
409,2,4,0,0
410,3,4,0,0
411,4,4,-1,0
412,4,4,-1,0
413,4,4,-1,0
414,1,4,0,0
415,4,4,-1,0
416,3,4,0,0
417,3,4,0,0
418,3,4,-3,0
419,1,4,0,0
420,3,4,-5,0
421,4,4,-1,0
422,1,4,0,0
501,2,5,0,0
502,1,5,0,0
503,3,5,0,0
504,4,5,-1,0
505,2,5,-5,0
506,4,5,-1,0
507,4,5,-1,0
508,3,5,-3,0
509,4,5,-1,0
510,3,5,0,0
511,2,5,0,0
512,3,5,-3,0
513,3,5,0,0
514,2,5,0,0
515,3,5,0,0
516,1,5,0,0
517,2,5,0,0
518,1,5,0,0
519,2,5,0,0
520,1,5,0,0
521,4,5,-1,0
522,0,5,-2,0
