101,3,1,0,0,0,0,0
102,6,1,0,0,0,0,6
103,0,1,0,0,0,0,-2
104,4,1,0,0,0,0,0
105,2,1,0,0,0,0,1
106,2,1,0,0,0,0,-2
107,6,1,0,1,0,0,-3
108,0,1,0,0,0,0,-2
109,0,1,0,0,0,0,-2
110,0,1,0,0,0,0,-2
111,2,1,0,0,0,0,-5
112,5,1,0,0,0,0,6
113,2,1,0,0,0,0,0
114,6,1,0,0,0,0,6
115,0,1,0,0,0,0,-2
116,4,1,0,0,0,0,0
117,2,1,0,0,0,0,0
118,4,1,0,0,0,0,0
119,0,1,0,0,0,0,-2
120,2,1,0,0,0,0,12
201,2,2,0,0,0,0,-2
202,0,2,0,-1,-1,0,-2
203,0,2,0,0,0,0,-2
204,3,2,0,0,0,0,0
205,2,2,0,0,0,0,6
206,2,2,0,0,0,0,0
207,0,2,0,0,0,0,-2
208,0,2,0,0,0,0,-2
209,0,2,0,0,0,0,-2
210,2,2,0,0,0,0,0
211,3,2,1,0,0,0,0
212,4,2,0,0,0,0,6
213,5,2,0,0,0,3,6
214,0,2,0,1,0,0,-2
215,4,2,0,0,0,0,0
216,2,2,0,0,0,0,0
217,2,2,1,0,1,0,0
218,2,1,0,0,0,0,0
219,4,4,0,0,0,0,6
220,0,2,0,0,0,0,-2
221,0,2,0,0,0,0,-2
222,2,2,0,0,0,0,0
301,0,3,0,0,0,0,-2
302,0,3,0,0,0,0,-2
303,0,3,0,0,0,0,-2
304,3,3,0,0,0,1,1
305,0,3,0,0,0,0,-2
306,3,3,1,0,0,1,-5
307,4,3,0,0,0,0,0
308,2,3,0,0,0,0,0
309,0,3,0,0,0,0,-2
310,2,3,1,0,0,0,0
311,3,3,0,0,0,0,6
312,0,3,0,0,0,0,-2
313,4,3,0,1,0,0,0
314,2,3,0,0,0,0,0
315,4,3,0,0,1,3,0
316,3,3,2,0,0,0,0
317,3,3,0,0,0,0,0
318,3,3,0,0,0,0,0
319,2,3,0,0,0,0,-2
320,4,3,0,0,0,0,0
321,3,3,0,0,0,0,0
322,6,3,0,0,0,0,6
401,3,4,0,0,0,0,-5
402,0,4,0,0,0,0,-2
403,2,4,0,0,0,0,0
404,3,4,0,3,4,8,0
405,4,4,0,0,0,0,0
406,2,4,0,0,0,0,-2
407,0,4,0,0,0,0,-2
408,4,4,0,2,0,0,1
409,2,4,0,0,0,0,0
410,3,4,0,0,0,0,0
411,4,4,0,2,1,5,0
412,4,4,0,0,0,1,0
413,4,4,0,0,0,0,0
414,0,4,0,1,0,0,-2
415,4,4,0,0,0,0,0
416,3,4,0,0,0,0,0
417,3,4,0,0,0,0,0
418,3,4,0,0,0,0,-3
419,0,4,0,0,0,0,-2
420,3,4,0,0,0,0,-5
421,4,4,0,0,4,3,0
422,0,4,0,0,0,0,-2
501,2,5,0,0,0,0,0
502,0,5,0,3,6,8,-2
503,3,5,1,0,2,1,0
504,4,5,0,0,0,0,0
505,2,5,0,0,0,0,-5
506,4,5,0,0,0,0,0
507,4,5,0,0,0,0,0
508,3,5,0,0,0,0,-3
509,4,5,0,1,0,0,0
510,3,5,0,0,0,0,0
511,2,5,0,0,0,0,0
512,3,5,0,0,0,0,-3
513,3,5,0,0,0,0,0
514,2,5,0,0,0,0,0
515,3,5,2,0,3,2,0
516,0,5,0,0,0,0,-2
517,2,5,0,0,0,0,0
518,0,5,0,0,0,0,-2
519,2,5,0,0,0,0,0
520,0,5,0,0,0,0,-2
521,4,5,0,0,0,0,0
522,2,5,0,0,0,0,-2
